	ID	IDC	MT_TOT	PMG	RECENCE
624	624	1831	95.0	4. P	9
625	625	1832	17.5	4. P	10
626	626	1833	3940.5	3. M	8
627	627	1835	20.0	4. P	10
628	628	1837	8591.0	3. M	0
629	629	1838	215.0	4. P	10
630	630	1839	17.0	4. P	10
631	631	1840	806.0	4. P	3
632	632	1841	337.5	4. P	1
633	633	1842	377.0	4. P	1
634	634	1844	52.5	4. P	10
635	635	1845	629.5	4. P	1
636	636	1848	28.5	4. P	10
637	637	1849	153.0	4. P	10
638	638	1850	10771.0	2. G	0
639	639	1851	1914.0	3. M	0
640	640	1852	248.0	4. P	10
641	641	1853	178.5	4. P	0
642	642	1854	23286.95	2. G	0
643	643	1855	241.5	4. P	3
644	644	1856	8.0	4. P	10
645	645	1857	7489.5	3. M	7
646	646	1858	75.0	4. P	9
647	647	1859	13.5	4. P	10
648	648	1860	10716.0	2. G	6
649	649	1861	157.65	4. P	10
650	650	1862	91.5	4. P	9
651	651	1863	101.0	4. P	5
652	652	1864	38.5	4. P	10
653	653	1865	969.5	4. P	10
654	654	1866	345.0	4. P	9
655	655	1867	1735.0	3. M	0
656	656	1868	609.0	4. P	5
657	657	1869	5717.7	3. M	0
658	658	1870	46.5	4. P	8
659	659	1871	2860.0	3. M	0
660	660	1872	2543.0	3. M	0
661	661	1873	377.0	4. P	6
662	662	1875	256.5	4. P	9
663	663	1876	1062.9	4. P	0
664	664	1877	10.0	4. P	10
665	665	1878	10.0	4. P	10
666	666	1879	356.0	4. P	7
667	667	1881	2.0	4. P	10
668	668	1882	159.1	4. P	9
669	669	1883	120.0	4. P	2
670	670	1884	302.0	4. P	0
671	671	1885	2484.85	3. M	0
672	672	1886	45.5	4. P	9
673	673	1887	14.0	4. P	10
674	674	1889	47.0	4. P	9
675	675	1890	63.5	4. P	7
676	676	1891	103.0	4. P	9
677	677	1892	10.0	4. P	10
678	678	1893	8.0	4. P	10
679	679	1894	1162.0	4. P	2
680	680	1895	2.5	4. P	10
681	681	1897	10.0	4. P	10
682	682	1898	111.0	4. P	10
683	683	1899	49.0	4. P	1
684	684	1900	393.5	4. P	0
685	685	1901	200.0	4. P	8
686	686	1902	341.5	4. P	0
687	687	1904	10.0	4. P	10
688	688	1905	39.5	4. P	10
689	689	1906	115.0	4. P	9
690	690	1907	10.0	4. P	10
691	691	1908	922.5	4. P	3
692	692	1909	7831.5	3. M	3
693	693	1910	151.5	4. P	8
694	694	1911	10.0	4. P	7
695	695	1912	6797.7	3. M	0
696	696	1914	11137.4	2. G	0
697	697	1916	10.0	4. P	10
698	698	1918	5403.5	3. M	0
699	699	1919	3993.5	3. M	0
700	700	1920	18.0	4. P	10
701	701	1922	20.0	4. P	10
702	702	1924	203.0	4. P	7
703	703	1925	8.5	4. P	9
704	704	1926	227.5	4. P	6
705	705	1927	9796.5	3. M	0
706	706	1928	785.5	4. P	0
707	707	1929	36.5	4. P	10
