ID,index,IDC,MT_TOT,NB,KEYMAX,KEYMIN,"('KEY2', 'KEY2MAX')","('KEY2', 'KEY2MIN')",2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,PMG,PMG2,REC,RECENCE
496,496,1672,2270.0,1412,2014-11-01,2013-12-01,24179,24168,,,,,,,,,,,313.5,305.0,350.5,172.5,63.0,231.5,162.5,158.5,59.5,275.5,147.0,31.0,260.0,3.0,,0.5,1.0,60.0,1.5,34.5,,,,1456.0,453.5,,,3. M,3,4,0
497,497,1673,10077.0,965,2014-11-01,2013-12-01,24179,24168,,,,,,,,,,,41.5,427.0,300.5,406.5,1015.5,771.5,907.0,121.5,1436.0,1060.0,1251.5,2338.5,1156.0,6470.0,31.5,254.0,17.0,1970.5,,,2.5,2.0,1.0,172.0,,,0.5,3. M,3,4,0
498,498,1674,403.0,40,2014-02-01,2014-01-01,24170,24169,,,,,,,,,,,,352.0,51.0,,,,,,,,,,24.0,336.0,1.0,7.5,0.5,,,31.0,,,,3.0,,,,4. P,4,2,9
499,499,1676,165.0,120,2014-01-01,2013-12-01,24169,24168,,,,,,,,,,,134.0,31.0,,,,,,,,,,,78.0,77.0,,,,1.0,,1.5,,2.0,,5.5,,,,4. P,4,2,10
500,500,1678,4.0,4,2014-06-01,2014-06-01,24174,24174,,,,,,,,,,,,,,,,,4.0,,,,,,,4.0,,,,,,,,,,,,,,4. P,4,3,5
501,501,1679,72.5,57,2014-03-01,2014-02-01,24171,24170,,,,,,,,,,,,,47.0,25.5,,,,,,,,,25.0,32.0,,,,0.5,,12.5,,2.0,,,0.5,,,4. P,4,2,8
502,502,1680,375.0,12,2013-12-01,2013-12-01,24168,24168,,,,,,,,,,,375.0,,,,,,,,,,,,75.0,250.0,,5.0,,,,,,,,45.0,,,,4. P,4,2,11
503,503,1682,286.4,36,2014-11-01,2013-12-01,24179,24168,,,,,,,,,,,17.5,0.5,,,,,,,,,,268.4,,,,,,11.0,,,,200.0,39.0,,,36.4,,4. P,4,4,0
504,504,1683,8068.5,806,2014-11-01,2013-12-01,24179,24168,,,,,,,,,,,322.0,971.0,140.0,763.0,1109.0,100.0,315.0,273.0,1006.0,1377.0,474.0,1218.5,3068.0,4995.0,,,,5.5,,,,,,,,,,3. M,3,4,0
505,505,1684,11.0,10,2013-12-01,2013-12-01,24168,24168,,,,,,,,,,,11.0,,,,,,,,,,,,1.0,6.5,,,,,,,,,,3.5,,,,4. P,4,2,11
506,506,1685,4142.5,1438,2014-11-01,2013-12-01,24179,24168,,,,,,,,,,,140.5,774.5,755.5,517.0,903.0,495.0,303.5,52.0,,,,201.5,814.0,385.5,242.0,72.0,1221.5,,8.0,952.5,3.0,108.0,41.0,163.5,1.5,6.0,124.0,3. M,3,4,0
507,507,1687,13.0,5,2013-12-01,2013-12-01,24168,24168,,,,,,,,,,,13.0,,,,,,,,,,,,,,,10.5,,,,2.5,,,,,,,,4. P,4,2,11
508,508,1688,1390.0,25,2014-09-01,2014-01-01,24177,24169,,,,,,,,,,,,250.0,,,,110.0,130.0,270.0,400.0,230.0,,,1275.0,95.0,20.0,,,,,,,,,,,,,4. P,4,3,2
