,index,IDC,MT_TOT,NB,KEYMAX,KEYMIN,KEYMAX2,KEYMIN2,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,Produit 0,Produit 1,Produit 2,Produit 3,Produit 4,Produit 5,Produit 6,PMG,PMG2,REC,RECENCE,MT90,MT30
1235,1235,2535,16.5,12,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,,7.5,7.5,1.5,4. P,4,2,7,16.5,16.5
1236,1236,2539,6.0,2,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,6.0,,,4. P,4,2,7,6.0,6.0
1237,1237,2540,18.5,21,2014-06-01,2014-04-01,24174,24172,,,,,,,,,,,,,,,,12.5,4.5,1.5,,,,,,,,,7.0,1.0,10.0,0.5,4. P,4,3,5,18.5,12.5
1238,1238,2541,25.5,15,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,25.5,,,,,,,,,,,23.0,2.5,,,4. P,4,2,7,25.5,25.5
1239,1239,2542,7617.5,4589,2014-10-01,2014-04-01,24178,24172,,,,,,,,,,,,,,,,611.5,1374.0,2057.0,2037.0,1038.5,484.5,15.0,,4.5,27.0,,216.5,1548.5,3821.5,1999.5,3. M,3,4,1,4677.5,870.5
1240,1240,2545,547.0,157,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,547.0,,,,,,,,,,,547.0,,,,4. P,4,2,7,547.0,547.0
1241,1241,2546,169.5,36,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,169.5,,,,,,,,,,,49.5,103.5,8.5,8.0,4. P,4,2,7,169.5,169.5
1242,1242,2547,7.0,7,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,6.0,,1.0,,4. P,4,2,7,7.0,7.0
1243,1243,2549,153.0,38,2014-07-01,2014-04-01,24175,24172,,,,,,,,,,,,,,,,10.0,,,143.0,,,,,,,,131.0,12.0,,10.0,4. P,4,3,4,153.0,10.0
1244,1244,2551,216.0,92,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,216.0,,,,,,,,,,,195.5,15.5,,5.0,4. P,4,2,7,216.0,216.0
1245,1245,2552,10.0,7,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,6.0,4.0,,,4. P,4,2,7,10.0,10.0
1246,1246,2553,106.0,69,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,106.0,,,,,,,,,,,97.0,9.0,,,4. P,4,2,7,106.0,106.0
1247,1247,2554,33.0,30,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,31.0,1.0,1.0,,4. P,4,2,7,33.0,33.0
1248,1248,2557,18.0,12,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,16.0,2.0,,,4. P,4,2,7,18.0,18.0
1249,1249,2559,106.0,22,2014-09-01,2014-04-01,24177,24172,,,,,,,,,,,,,,,,22.0,5.0,27.0,,4.0,48.0,,,,,,94.0,,12.0,,4. P,4,3,2,54.0,27.0
1250,1250,2560,40.0,4,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,40.0,,,,4. P,4,2,7,40.0,40.0
1251,1251,2562,5.0,4,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,4.0,,1.0,,4. P,4,2,7,5.0,5.0
1252,1252,2563,10.0,6,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,7.0,3.0,,4. P,4,2,7,10.0,10.0
1253,1253,2564,36.0,35,2014-04-01,2014-04-01,24172,24172,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,34.0,,2.0,,4. P,4,2,7,36.0,36.0
