,index,IDC,MT_TOT,NB,KEYMAX,KEYMIN,KEYMAX2,KEYMIN2,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-04-01,2014-05-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,Couple,Jackpot,Multi,Quarte,Quinte,Simple,Trio,PMG,PMG2,REC,RECENCE,MT90,MT30
702,702,1927,917.0,78,2014-07-01,2014-01-01,24175,24169,,,,,,,,,,,,,748.0,95.0,,,74.0,,,,764.0,,,,,133.0,20.0,4. P,4,3,4,843.0,843.0
703,703,1928,48.0,24,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,48.0,,,,,,,,13.0,,26.0,2.0,1.0,,6.0,4. P,4,2,10,48.0,48.0
704,704,1929,36.5,25,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,36.5,,,,,,,,1.5,,,,24.5,0.5,10.0,4. P,4,2,10,36.5,36.5
705,705,1930,134.0,30,2014-02-01,2014-01-01,24170,24169,,,,,,,,,,,,,124.0,10.0,,,,,,,129.0,,,,,5.0,,4. P,4,2,9,134.0,134.0
706,706,1931,18.0,4,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,18.0,,,,,,,,10.0,,5.0,,3.0,,,4. P,4,2,10,18.0,18.0
707,707,1933,737.0,138,2014-02-01,2014-01-01,24170,24169,,,,,,,,,,,,,553.5,183.5,,,,,,,94.0,27.0,165.5,101.0,191.0,102.0,56.5,4. P,4,2,9,737.0,737.0
708,708,1934,41.0,11,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,41.0,,,,,,,,12.5,,8.5,,5.0,15.0,,4. P,4,2,10,41.0,41.0
709,709,1936,20.0,3,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,20.0,,,,,,,,15.0,,,,,5.0,,4. P,4,2,10,20.0,20.0
710,710,1937,10.0,1,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,10.0,,,,,,,,10.0,,,,,,,4. P,4,2,10,10.0,10.0
711,711,1938,39.0,52,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,39.0,,,,,,,,17.5,2.0,2.0,3.0,9.5,5.0,,4. P,4,2,10,39.0,39.0
712,712,1939,9.0,2,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,9.0,,,,,,,,,,9.0,,,,,4. P,4,2,10,9.0,9.0
713,713,1940,71.0,16,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,71.0,,,,,,,,5.0,,15.0,10.0,41.0,,,4. P,4,2,10,71.0,71.0
714,714,1941,10.0,2,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,10.0,,,,,,,,5.0,,,,,5.0,,4. P,4,2,10,10.0,10.0
715,715,1942,19.0,7,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,19.0,,,,,,,,,0.5,6.0,6.0,6.5,,,4. P,4,2,10,19.0,19.0
716,716,1943,10.0,4,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,10.0,,,,,,,,,2.0,,,,8.0,,4. P,4,2,10,10.0,10.0
717,717,1944,18.5,14,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,18.5,,,,,,,,,,8.5,2.0,3.0,1.5,3.5,4. P,4,2,10,18.5,18.5
718,718,1945,4.5,4,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,4.5,,,,,,,,3.0,,0.5,,,1.0,,4. P,4,2,10,4.5,4.5
719,719,1947,98.5,49,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,98.5,,,,,,,,8.0,3.5,9.0,38.0,20.0,5.0,15.0,4. P,4,2,10,98.5,98.5
720,720,1949,9.0,18,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,9.0,,,,,,,,,0.5,,0.5,6.5,,1.5,4. P,4,2,10,9.0,9.0
721,721,1950,4.0,8,2014-02-01,2014-01-01,24170,24169,,,,,,,,,,,,,2.0,2.0,,,,,,,3.0,,,0.5,,0.5,,4. P,4,2,9,4.0,4.0
722,722,1951,41.0,12,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,41.0,,,,,,,,,,22.0,,19.0,,,4. P,4,2,10,41.0,41.0
723,723,1952,10.5,6,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,10.5,,,,,,,,,,5.5,,5.0,,,4. P,4,2,10,10.5,10.5
724,724,1953,21.0,21,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,21.0,,,,,,,,18.0,0.5,,,2.0,,0.5,4. P,4,2,10,21.0,21.0
725,725,1954,54.0,96,2014-02-01,2014-01-01,24170,24169,,,,,,,,,,,,,15.0,39.0,,,,,,,,,14.0,,,1.0,39.0,4. P,4,2,9,54.0,54.0
726,726,1955,25.5,13,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,25.5,,,,,,,,,2.0,,,2.0,9.0,12.5,4. P,4,2,10,25.5,25.5
727,727,1956,88.0,21,2014-02-01,2014-01-01,24170,24169,,,,,,,,,,,,,53.0,35.0,,,,,,,70.0,3.0,,2.0,8.0,5.0,,4. P,4,2,9,88.0,88.0
728,728,1957,15.5,24,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,15.5,,,,,,,,6.5,,3.0,1.0,4.5,,0.5,4. P,4,2,10,15.5,15.5
729,729,1958,108.5,65,2014-02-01,2014-01-01,24170,24169,,,,,,,,,,,,,34.5,74.0,,,,,,,63.0,0.5,,,1.0,44.0,,4. P,4,2,9,108.5,108.5
730,730,1959,66.0,132,2014-01-01,2014-01-01,24169,24169,,,,,,,,,,,,,66.0,,,,,,,,,,66.0,,,,,4. P,4,2,10,66.0,66.0
731,731,1961,126.0,22,2014-02-01,2014-01-01,24170,24169,,,,,,,,,,,,,87.0,39.0,,,,,,,70.0,,39.0,,,17.0,,4. P,4,2,9,126.0,126.0
